resource_id,resource_type,title,normalized_title,official_title,description,issuing_authority,publisher,publication_year,publication_date,effective_from,effective_until,academic_year,curriculum_name,curriculum_version,regulation_reference,regulation_status,document_status,education_level,phase,grade_from,grade_to,subject,subject_variant,element,content_scope,language,official_source_url,download_url,final_resolved_url,source_domain,source_page,local_file_path,file_name,file_extension,mime_type,file_size_bytes,sha256,download_timestamp,last_verified_at,license_category,license_name,license_url,copyright_holder,commercial_use_allowed,modification_allowed,redistribution_allowed,attribution_required,verification_status,verified_by,supersedes_resource_id,superseded_by_resource_id,related_resource_ids,notes
AUTO-133,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=133,https://kurikulum.kemendikdasmen.go.id/file/1771826326_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_133__133.pdf,resource_133__133.pdf,pdf,application/pdf,15878610,00b4e431eb9cbb892916d6130bf7da3fd10b69afdd3ce9f2525d674390afccf7,2026-07-28T03:50:39Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-135,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=135,https://kurikulum.kemendikdasmen.go.id/file/Buku%20Pedoman%20IKAN%202025.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_135__135.pdf,resource_135__135.pdf,pdf,application/pdf,55933653,7364e81c40f69c9e9aaa3ba2ca96a83a7b0fdc68fce6ee6a0f91edbe2c1aa0e7,2026-07-28T04:03:12Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-136,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=136,https://kurikulum.kemendikdasmen.go.id/file/Panduan%20Pendidikan%20Antikorupsi.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_136__136.pdf,resource_136__136.pdf,pdf,application/pdf,23531084,4ee5693f5ddb43e3757e8c38d2d689343766df4401c365a383d7a087e15850f8,2026-07-28T04:03:07Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-137,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=137,https://kurikulum.kemendikdasmen.go.id/file/Panduan%20Penyelenggaraan%20Sekolah%20Model%20Implementasi%20Pembelajaran%20Mendalam%20dan%20Koding%20dan%20Kecerdasan%20Artifisial.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_137__137.pdf,resource_137__137.pdf,pdf,application/pdf,13696660,ed08a3d410903c799edc0a890cc8dcd4f04946b5ea9b8039c9ea43012a8b88a8,2026-07-28T04:01:18Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-138,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=138,https://kurikulum.kemendikdasmen.go.id/file/Buku%20Saku%20Kecerdasan%20Artifisial%20untuk%20Murid.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_138__138.pdf,resource_138__138.pdf,pdf,application/pdf,17024582,c1318b1a63400baa318419e2149946a603448c803e1de844339ceb459a840814,2026-07-28T04:00:47Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-139,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=139,https://kurikulum.kemendikdasmen.go.id/file/Panduan%20Pemanfaatan%20Kecerdasan%20Artifisial%20untuk%20Guru.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_139__139.pdf,resource_139__139.pdf,pdf,application/pdf,15062669,28e55e8ee90e44a1cb4ce1a168c086905a17a4a291d148729990f70eaefb873a,2026-07-28T04:00:43Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-140,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=140,https://kurikulum.kemendikdasmen.go.id/file/Panduan%20Pendidikan%20Keamanan%20Siber.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_140__140.pdf,resource_140__140.pdf,pdf,application/pdf,21382100,ad4ffe379f1c832cbfa3784e5f678e31bc1ba5f61f29cc145ddf28993a6ff6b5,2026-07-28T04:05:40Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-141,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=141,https://kurikulum.kemendikdasmen.go.id/file/R5%20-%20Layout%20Ruang%20Murid.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_141__141.pdf,resource_141__141.pdf,pdf,application/pdf,4252463,6d7afc2be4ce51a612f0ff58bea22512de8fc033c62a143f466b353a3b0b3578,2026-07-28T03:50:36Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-142,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=142,https://kurikulum.kemendikdasmen.go.id/file/Salinan%20Kepka%20BKPDM%20No.%20020%20Tahun%202026%20tentang%20Perubahan%20atas%20Keputusan%20Kepala%20BSKAP%20Kemendikdasmen%20No.%20046_H_KR_2025.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_142__142.pdf,resource_142__142.pdf,pdf,application/pdf,8510107,598278746b0f62333fdcab520d5dd4c1a9650c94bd3906acff4254100976552b,2026-07-28T03:50:26Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-143,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=143,https://kurikulum.kemendikdasmen.go.id/file/Salinan%20Kepka%20BKPDM%20No.%20021%20Tahun%202026%20tentang%20CP%20Mapel%20Pendidikan%20Kepercayaan%20dan%20Budi%20Pekerti.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_143__143.pdf,resource_143__143.pdf,pdf,application/pdf,1944826,6eeb3b79eabb4610332c3a6b6335921af3b93d840d7339319bc3c74cf34d8098,2026-07-28T03:50:21Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-144,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=144,https://kurikulum.kemendikdasmen.go.id/file/Panduan%20Penyelenggaraan%20Pendidikan%20Inklusif%20(Final%20Result).pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_144__144.pdf,resource_144__144.pdf,pdf,application/pdf,12950879,362282f6473b33e55cf8f4ae245e0ddee62aedd5b888f0ac1fbcb9db395cb1a1,2026-07-28T03:59:58Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-295,document,Pendidikan Pancasila,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=295,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/2.%20Final%20Panduan%20Mata%20Pelajaran%20Pendidikan%20Pancasila_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\pendidikan_pancasila__295.pdf,pendidikan_pancasila__295.pdf,pdf,application/pdf,6529115,1e45333e9fc0efe743c6d5085a0f21eea0e9f9be906ba76bc6337a5412fda69d,2026-07-28T04:12:28Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-296,document,Bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=296,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/4.%20Panduan%20Mata%20Pelajaran%20Bahasa%20Indonesia_16_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\bahasa_indonesia__296.pdf,bahasa_indonesia__296.pdf,pdf,application/pdf,31089575,61cfd4020251df77c98686ac6f5cdd02bab0569e642a23dbe89d36137a498532,2026-07-28T04:18:54Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-297,document,Bahasa Inggris,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=297,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/3.%20Final%20Panduan%20Mata%20Pelajaran%20Bahasa%20Inggris_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\bahasa_inggris__297.pdf,bahasa_inggris__297.pdf,pdf,application/pdf,7704975,c5a54a7c54b13e9087e80fe05973ac84da4d39fd6f69fb802dee6b4b377f148b,2026-07-28T04:19:09Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-298,document,Matematika,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=298,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/5.%20Final%20Panduan%20Mata%20Pelajaran%20Matematika_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\matematika__298.pdf,matematika__298.pdf,pdf,application/pdf,59548498,0b35d66142f98d3d3c3afa299cfb30085bc8e314e2b2086964ae216e2045f306,2026-07-28T04:12:25Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-299,document,Ipas,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=299,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/7.%20Final%20Panduan%20Mata%20Pelajaran%20IPAS_03_10_2025_Revisi%204.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\ipas__299.pdf,ipas__299.pdf,pdf,application/pdf,3386428,8be08fe56768e3046ca88833e73ae6c0c19e7a1ea46b8f8562bde79949c4ab45,2026-07-28T04:01:14Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-300,document,Ipa,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=300,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/Panduan%20Mata%20Pelajaran%20IPA.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\ipa__300.pdf,ipa__300.pdf,pdf,application/pdf,5046132,b3555f7a7b74322d3d3f92d3be8fb80b9f80d4f52ebb9f9d8042eb67d9eae561,2026-07-28T04:22:01Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-304,document,Informatika,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=304,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/32.%20Panduan%20Mata%20Pelajaran%20Informatika.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\informatika__304.pdf,informatika__304.pdf,pdf,application/pdf,4907908,d143cf009d7ed606e9b61255bbf000f7a378c54e8d29e0a015caf357ebc04e9a,2026-07-28T04:21:58Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-305,document,Ips,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=305,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/12.%20Final%20Panduan%20Mata%20Pelajaran%20IPS_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\ips__305.pdf,ips__305.pdf,pdf,application/pdf,3697999,59223ec9f0472010efee906d802406e95ec098c9ee7c0ac0a5b81180701a4d1b,2026-07-28T04:11:53Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-311,document,Seni Rupa,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=311,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/18.%20Panduan%20Mata%20Pelajaran%20Seni%20Rupa.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\seni_rupa__311.pdf,seni_rupa__311.pdf,pdf,application/pdf,18753006,8963bfbabdcc04c5f739a9da8639258120b14d0471472ddf3c86b4df798ccfd1,2026-07-28T04:10:04Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-312,document,Seni Musik,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=312,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/19.%20Final%20Panduan%20Mata%20Pelajaran%20Seni%20Musik_13_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\seni_musik__312.pdf,seni_musik__312.pdf,pdf,application/pdf,6422486,6473194b6a884d8677e24d5e3f8efc7d3d2d76ad18b05c868e1caf0cb8bea9bf,2026-07-28T04:08:16Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-313,document,Seni Teater,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=313,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/20.%20Final%20Panduan%20Mata%20Pelajaran%20Seni%20Teater_13_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\seni_teater__313.pdf,seni_teater__313.pdf,pdf,application/pdf,5946870,fa5e0f866c35aac8cf1df9b861e05384c6132839fed3429c1bcec3646e5d1575,2026-07-28T04:10:42Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-314,document,Seni Tari,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=314,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/21.%20Final%20Panduan%20Mata%20Pelajaran%20Seni%20Tari_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\seni_tari__314.pdf,seni_tari__314.pdf,pdf,application/pdf,10930869,bb363b5c4edcaa32e6487b913c87d035690e06af0d96fa79d51b378ea1c17051,2026-07-28T04:10:08Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-315,document,Prakarya Budidaya,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=315,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/22.%20Final%20Panduan%20Mata%20Pelajaran%20Prakarya%20Budi%20Daya%20&%20Prakarya%20dan%20Kewirausahaan%20Budi%20Daya_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\prakarya_budidaya__315.pdf,prakarya_budidaya__315.pdf,pdf,application/pdf,3167915,5eb18d98098fb89276cf3ecc5580729b0471b28f92f444da6a2d075fc9ef58e9,2026-07-28T04:13:24Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-316,document,Prakarya Kerajinan,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=316,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/23.%20Final%20Panduan%20Mata%20Pelajaran%20Prakarya%20Keraijnan%20&%20Prakarya%20dan%20Kewirausahaan%20Kerajinan_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\prakarya_kerajinan__316.pdf,prakarya_kerajinan__316.pdf,pdf,application/pdf,3591209,c531f3fb76702b3421e77c24641665b7516b9c27504e9b625f1c3c79207ca85f,2026-07-28T04:13:49Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-319,document,Pjok,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=319,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/Panduan%20Mata%20Pelajaran%20PJOK.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\pjok__319.pdf,pjok__319.pdf,pdf,application/pdf,7542799,81a4ec583fbaed9bc320a1d9b416d7f4d4472a74ef36a048d49a51a08f0b4b4f,2026-07-28T04:13:11Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-326,document,Koding Dan Kecerdasan Artifisial,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=326,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/33.%20Final%20Panduan%20Mata%20Pelajaran%20Panduan%20Mata%20Pelajaran%20Koding%20dan%20Kecerdasan%20Artifisial_12_Sep_2025_revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\koding_dan_kecerdasan_artifisial__326.pdf,koding_dan_kecerdasan_artifisial__326.pdf,pdf,application/pdf,6716002,a46d9fc35dac5f7982c0fde1340d8c2a91099e15cc84568c42693c383fde77c3,2026-07-28T04:12:20Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-434,document,Program Kebutuhan Khusus Pengembangan Orientasi Mobilitas Sosial Dan Komunikasi Pomsk Untuk Peserta Didik Dengan Hambatan Penglihatan Tunanetra,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=434,"https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/38.%20Program%20Panduan%20Pengembangan%20Orientasi,%20Mobilitas,%20Sosial,%20dan%20Komunikasi%20(POMSK)_REVISI%204_14_jan_2026%20(1).pdf",kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\program_kebutuhan_khusus_pengembangan_orientasi_mobilitas_sosial_dan_komunikasi_pomsk_untuk_peserta_didik_dengan_hambatan_penglihatan_tunanetra__434.pdf,program_kebutuhan_khusus_pengembangan_orientasi_mobilitas_sosial_dan_komunikasi_pomsk_untuk_peserta_didik_dengan_hambatan_penglihatan_tunanetra__434.pdf,pdf,application/pdf,4280057,e1e1514c1f9f2bec64adfea1f3a566762291758dce346fee8ca6e94f28606530,2026-07-28T04:15:35Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-463,document,Program Kebutuhan Khusus Pengembangan Diri Dan Gerak Untuk Peserta Didik Berkebutuhan Khusus Dengan Hambatan Fisik Tunadaksa,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=463,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/41.%20Panduan%20Pengembangan%20Diri%20dan%20Pengembangan%20Gerak%20(Hambatan%20Fisik_Tunadaksa)_REVISI_3_070126.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\program_kebutuhan_khusus_pengembangan_diri_dan_gerak_untuk_peserta_didik_berkebutuhan_khusus_dengan_hambatan_fisik_tunadaksa__463.pdf,program_kebutuhan_khusus_pengembangan_diri_dan_gerak_untuk_peserta_didik_berkebutuhan_khusus_dengan_hambatan_fisik_tunadaksa__463.pdf,pdf,application/pdf,3913664,1ae41ed8098b444880574b4b7bbdb4336ac2aa502761099ad949b49ac3af30f9,2026-07-28T04:15:32Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-53,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=53,https://kurikulum.kemendikdasmen.go.id/wp-content/uploads/2022/10/Kajian-Akademik-Penerimaan-Mahasiswa-Baru.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_53__53.pdf,resource_53__53.pdf,pdf,application/pdf,3170747,4eaefe2b76c40d821caeb57be7f1f10f4362c984b7defdaa7223d01326a97bab,2026-07-28T04:15:07Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-54,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=54,https://kurikulum.kemendikdasmen.go.id/wp-content/unduhan/Kajian_PPP.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_54__54.pdf,resource_54__54.pdf,pdf,application/pdf,1672374,381999e045b30cf1baaf55a21265cf05c550461aa075d2d02e048c443cd55492,2026-07-28T04:15:10Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-55,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=55,https://kurikulum.kemendikdasmen.go.id/wp-content/unduhan/Kajian_Pemulihan.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_55__55.pdf,resource_55__55.pdf,pdf,application/pdf,3349625,fc5c8d9df60be91bc490a91f7a3fe12b259e33240526c4d07d38133b1640df41,2026-07-28T04:14:51Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-74,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=74,https://kurikulum.kemendikdasmen.go.id/file/1675738974_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_74__74.pdf,resource_74__74.pdf,pdf,application/pdf,205971,eaff30eb7d16f4191cb94efba57902be8e0f69379df50bc8e1d786fd8e3eeecc,2026-07-28T04:15:28Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-84,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=84,https://kurikulum.kemendikdasmen.go.id/file/1691478095_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_84__84.pdf,resource_84__84.pdf,pdf,application/pdf,646616,d8439a0dfd18d0cf1a8f8e9914104935890465fb0cddd43d61636c1f52232ea2,2026-07-28T04:15:26Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-89,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=89,https://kurikulum.kemendikdasmen.go.id/file/1711503412_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_89__89.pdf,resource_89__89.pdf,pdf,application/pdf,4212992,e2af6d8a47b47c6fe155d5bfd57da81d4644cd403e013d061d23e6ba4cd9e632,2026-07-28T04:14:29Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-92,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=92,https://kurikulum.kemendikdasmen.go.id/file/paparan_kurikulum.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_92__92.pdf,resource_92__92.pdf,pdf,application/pdf,10541197,738a68edeac862c96bdcb573d3a0afc9ce43b57b8361c840be459f30a098ec84,2026-07-28T04:17:52Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-93,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=93,https://kurikulum.kemendikdasmen.go.id/file/1715585799_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_93__93.pdf,resource_93__93.pdf,pdf,application/pdf,297063,ccbcbcca53143c3ee55cac81efec39b547b85121bbbf2add404cb770cd1166d2,2026-07-28T04:15:19Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-106,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=106,https://kurikulum.kemendikdasmen.go.id/file/1724727813_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_106__106.pdf,resource_106__106.pdf,pdf,application/pdf,13532474,cfe3b0c9a6363afb8cc2168c16b98e1bfefbba4ace4a68c25b21430ab6973f33,2026-07-28T04:17:49Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-109,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=109,https://kurikulum.kemendikdasmen.go.id/file/1729692740_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_109__109.pdf,resource_109__109.pdf,pdf,application/pdf,7542000,2c929ee693699831a5ce157ad5957618ce25bae4b45d60336ed868c97e39e22f,2026-07-28T04:16:18Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
